오피스텔매매가격지수_지역코드|오피스텔매매가격지수_지역명|시군구코드현행화|시도명현행화|시군구명현행화
0003|지방|45130|전라북도|군산시
0003|지방|45140|전라북도|익산시
0003|지방|45150|전라북도|이리시
0003|지방|45170|전라북도|정주시
0003|지방|45180|전라북도|정읍시
0003|지방|45190|전라북도|남원시
0003|지방|45210|전라북도|김제시
0003|지방|45710|전라북도|완주군
0003|지방|45720|전라북도|진안군
0003|지방|45730|전라북도|무주군
0003|지방|45740|전라북도|장수군
0003|지방|45750|전라북도|임실군
0003|지방|45760|전라북도|남원군
0003|지방|45770|전라북도|순창군
0003|지방|45780|전라북도|정읍군
0003|지방|45790|전라북도|고창군
0003|지방|45800|전라북도|부안군
0003|지방|45810|전라북도|김제군
0003|지방|45820|전라북도|옥구군
0003|지방|45830|전라북도|익산군
0003|지방|46000|전라남도|
00030003|광주|46010|전라남도|광주시
00030003|광주|46011|전라남도|광주시 동구
00030003|광주|46012|전라남도|광주시 서구
00030003|광주|46013|전라남도|광주시 북구
0003|지방|46020|전라남도|금성시
0003|지방|46030|전라남도|송정시
00030003|광주|46050|전라남도|광산군
0003|지방|46110|전라남도|목포시
0003|지방|46130|전라남도|여수시
0003|지방|46150|전라남도|순천시
0003|지방|46170|전라남도|나주시
0003|지방|46190|전라남도|여천시
0003|지방|46210|전라남도|동광양시
0003|지방|46230|전라남도|광양시
0003|지방|46710|전라남도|담양군
0003|지방|46720|전라남도|곡성군
0003|지방|46730|전라남도|구례군
0003|지방|46740|전라남도|광양군
0003|지방|46750|전라남도|여천군
0003|지방|46760|전라남도|승주군
0003|지방|46770|전라남도|고흥군
0003|지방|46780|전라남도|보성군
0003|지방|46790|전라남도|화순군
0003|지방|46800|전라남도|장흥군
0003|지방|46810|전라남도|강진군
0003|지방|46820|전라남도|해남군
0003|지방|46830|전라남도|영암군
0003|지방|46840|전라남도|무안군
0003|지방|46850|전라남도|나주군
0003|지방|46860|전라남도|함평군
0003|지방|46870|전라남도|영광군
0003|지방|46880|전라남도|장성군
0003|지방|46890|전라남도|완도군
0003|지방|46900|전라남도|진도군
0003|지방|46910|전라남도|신안군
0003|지방|47000|경상북도|
00030002|대구|47010|경상북도|대구시
00030002|대구|47011|경상북도|대구시 중구
00030002|대구|47012|경상북도|대구시 동구
00030002|대구|47013|경상북도|대구시 서구
00030002|대구|47014|경상북도|대구시 남구
00030002|대구|47015|경상북도|대구시 북구
00030002|대구|47016|경상북도|대구시 수성구
0003|지방|47020|경상북도|신안동시
0003|지방|47050|경상북도|영주군
0003|지방|47110|경상북도|포항시
0003|지방|47111|경상북도|포항시 남구
0003|지방|47113|경상북도|포항시 북구
0003|지방|47130|경상북도|경주시
0003|지방|47150|경상북도|김천시
0003|지방|47170|경상북도|안동시
0003|지방|47190|경상북도|구미시
0003|지방|47210|경상북도|영주시
0003|지방|47230|경상북도|영천시
0003|지방|47250|경상북도|상주시
0003|지방|47270|경상북도|점촌시
0003|지방|47280|경상북도|문경시
0003|지방|47290|경상북도|경산시
00030002|대구|47710|경상북도|달성군
0003|지방|47720|경상북도|군위군
0003|지방|47730|경상북도|의성군
0003|지방|47740|경상북도|안동군
0003|지방|47750|경상북도|청송군
0003|지방|47760|경상북도|영양군
0003|지방|47770|경상북도|영덕군
0003|지방|47780|경상북도|영일군
0003|지방|47790|경상북도|월성군
0003|지방|47795|경상북도|경주군
0003|지방|47800|경상북도|영천군
0003|지방|47810|경상북도|경산군
0003|지방|47820|경상북도|청도군
0003|지방|47830|경상북도|고령군
0003|지방|47840|경상북도|성주군
0003|지방|47850|경상북도|칠곡군
0003|지방|47860|경상북도|금릉군
0003|지방|47870|경상북도|선산군
0003|지방|47880|경상북도|상주군
0003|지방|47890|경상북도|문경군
0003|지방|47900|경상북도|예천군
0003|지방|47910|경상북도|영풍군
0003|지방|47920|경상북도|봉화군
0003|지방|47930|경상북도|울진군
0003|지방|47940|경상북도|울릉군
0003|지방|48000|경상남도|
00030001|부산|48010|경상남도|부산시
00030001|부산|48011|경상남도|부산시 중구
00030001|부산|48012|경상남도|부산시 서구
00030001|부산|48013|경상남도|부산시 동구
00030001|부산|48014|경상남도|부산시 영도구
00030001|부산|48015|경상남도|부산시 부산진
00030001|부산|48016|경상남도|부산시 동래구
0003|지방|48050|경상남도|창원군
00030005|울산|48060|경상남도|울산군
00030001|부산|48070|경상남도|동래군
0003|지방|48110|경상남도|창원시
0003|지방|48120|경상남도|창원시
0003|지방|48121|경상남도|창원시 의창구
